,sex,birthyear,height_ft,height_in,experience02,hhsize97,homelessness,faminjail,foodstamp,marijuana,cocaine,anydrug,numberofarrestsby2002,arrestedafter2002,convictedby2002,num_weight,birthmonth,race_ethnicity,race_specific,weight,married02,educ02,college02,parentrelations,urbanrural,victim,askgod,godhasnothingtodo,expectdeath,depression,race
127,1,1981,6,1,1,5,0,0,0,0,0,0,1,0,0,187.0,1,0,2,55,5,4,9,7,4,0,2,3,1,2,2
128,1,1983,5,5,1,7,0,1,0,1,0,1,1,1,0,162.0,7,0,2,42,5,0,8,9,4,0,3,2,1,3,2
129,1,1982,5,7,1,3,0,0,0,0,0,0,3,1,0,198.0,7,0,2,70,5,0,8,7,2,0,3,3,1,0,2
130,1,1980,6,1,0,4,0,0,0,1,0,1,1,0,0,160.0,8,3,1,40,5,4,1,9,4,0,3,2,3,2,1
131,1,1983,6,1,0,5,0,0,0,0,0,0,3,0,0,140.0,2,0,2,22,5,0,8,12,4,0,3,3,1,3,2
132,1,1982,6,0,2,3,0,0,0,1,1,1,2,0,0,250.0,10,3,5,89,4,4,7,7,4,0,2,2,1,2,5
133,1,1984,5,10,1,5,0,0,0,0,0,0,1,1,0,160.0,6,3,5,40,5,0,3,9,4,0,2,3,1,2,5
134,1,1982,5,0,1,7,0,0,0,1,0,1,1,1,0,163.0,0,0,2,43,5,4,7,5,4,0,3,2,1,1,2
135,1,1982,5,9,1,6,0,0,0,1,1,1,4,0,1,180.0,2,1,3,57,5,0,8,9,4,0,3,2,1,1,3
136,1,1981,5,5,1,3,0,0,0,0,0,0,1,1,0,140.0,0,3,5,22,5,4,7,9,4,0,3,2,1,2,5
137,0,1983,5,6,1,5,0,0,0,1,1,1,1,0,1,145.0,11,3,5,26,3,4,7,9,4,0,3,2,1,2,5
138,0,1982,5,4,1,5,0,1,0,1,1,1,1,0,1,115.0,4,3,5,5,2,0,8,7,0,0,3,3,1,2,5
139,1,1981,6,1,0,4,0,0,0,0,0,0,1,0,0,186.0,11,0,2,62,5,3,6,7,2,0,3,2,1,3,2
